Designator,Mid X,Mid Y,Rotation,Layer
C1,60.0325,-142.75,90.0,top
C3,50.67,-129.55,0.0,top
CONN01X06,88.6,-129.45,90.0,top
D2,50.6325,-135.55,180.0,top
D3,57.0,-152.2,270.0,top
DATA_IN1,48.8325,-119.9,90.0,top
DATA_OUT1,114.8,-119.75,90.0,top
ESP32-C3,105.15,-137.985,270.0,top
R1,65.1,-151.95,270.0,top
R10,76.1,-152.15,270.0,top
R11,83.1,-152.15,270.0,top
R16,92.6,-153.75,90.0,top
R20,55.8,-119.25,270.0,top
R21,59.6,-119.25,270.0,top
R3,72.5,-152.15,270.0,top
R4,50.6825,-132.55,180.0,top
R5,61.2,-152.25,90.0,top
R7,79.7,-152.25,270.0,top
R9,68.9,-152.05,270.0,top
SW2,103.2,-153.0,0.0,top
U1,66.7,-141.6,90.0,top
U2,73.45,-141.6,90.0,top
U3,80.2,-141.6,90.0,top
U4,66.72,-129.39,90.0,top
U5,73.47,-129.39,90.0,top
U6,80.22,-129.39,90.0,top
VP_IN1,52.8,-142.9,90.0,top
VP_IN2,62.7,-110.4,0.0,top
VP_IN3,82.1,-110.6,0.0,top
VP_IN4,101.7,-110.6,0.0,top
