Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C3, C4",1206,3,100nF,
C2,CP_Radial_D16.0mm_P7.50mm,1,2200uF 50V,
CONN01X06,JST_EH_B6B-EH-A_1x06_P2.50mm_Vertical,1,HC-05,
D1,1206,1,LED,
D2,1206,1,LED_D,
D3,1206,1,LED_P,
"D4, D5, D6, D7",D_DO-41_SOD81_P10.16mm_Horizontal,4,1N47xxA,
"DATA_IN1, DATA_OUT1",JST_EH_B4B-EH-A_1x04_P2.50mm_Vertical,2,I2C,
F1,Fuseholder_Clip-5x20mm_Keystone_3512_Inline_P23.62x7.27mm_D1.02x1.57mm_Horizontal,1,Fuse,
"J1, J2, J3, J4",SolderWire-0.5sqmm_1x01_D0.9mm_OD2.1mm,4,Conn_01x01_Pin,
M1,TerminalBlock_MaiXu_MX126-5.0-02P_1x02_P5.00mm,1,Motor_DC,
"Q1, Q2",TO-220-3_Vertical,2,IRF9540N,
"Q3, Q4",TO-220-3_Vertical,2,IRF540N,
"R1, R14, R15, R2, R3, R4",1206,6,330,
"R10, R11, R16, R17, R18, R19, R7, R8",1206,8,10k,
"R12, R13, R6, R9",1206,4,2.2k,
"R20, R21",1206,2,4.7k,
R5,1206,1,3.3k,
SW2,SW_RS-032G05A3-SMRT,1,SW_Push,
SW3,SW_DIP_SPSTx04_Slide_6.7x11.72mm_W7.62mm_P2.54mm_LowProfile,1,Dip_Switch_04,
U1,MODULE_ESP32-C3_SUPERMINI,1,ESP32-C3_SUPERMINI_SMD,
"U2, U3, U4, U5",DIP-6_W7.62mm,4,4N25,
"VP_IN1, VP_OUT1",TerminalBlock_MaiXu_MX126-5.0-02P_1x02_P5.00mm,2,Conn_01x02,
