Designator,Mid X,Mid Y,Rotation,Layer
C1,68.886,-110.5285,90.0,top
C2,58.6,-102.15,90.0,top
C3,42.6335,-135.636,0.0,top
C4,91.2245,-98.044,180.0,top
CONN01X06,70.65,-126.8,0.0,top
D1,83.82,-134.998,270.0,top
D2,41.148,-146.942,90.0,top
D3,73.966,-110.36,270.0,top
D4,100.4,-121.88,270.0,top
D5,105.6,-121.88,270.0,top
D6,88.6,-121.88,90.0,top
D7,83.2,-121.88,90.0,top
DATA_IN1,41.148,-125.67,90.0,top
DATA_OUT1,114.6,-125.95,90.0,top
F1,52.852,-114.688,0.0,top
M1,91.519,-88.646,0.0,top
Q1,83.064,-105.388,180.0,top
Q2,102.174,-92.71,270.0,top
Q3,80.016,-92.71,90.0,top
Q4,99.574,-105.388,180.0,top
R1,85.55,-150.546,180.0,top
R10,79.2,-118.3425,90.0,top
R11,92.664,-118.3985,270.0,top
R12,91.0625,-131.4,0.0,top
R13,97.0625,-131.4,180.0,top
R14,85.55,-153.594,180.0,top
R15,85.55,-147.498,0.0,top
R16,47.244,-150.088,270.0,top
R17,50.292,-150.088,270.0,top
R18,53.34,-150.14,270.0,top
R19,56.388,-150.088,270.0,top
R2,85.55,-140.2,180.0,top
R20,49.0,-120.95,0.0,top
R21,56.55,-121.0,180.0,top
R3,85.55,-144.45,180.0,top
R4,41.148,-141.25,90.0,top
R5,71.4,-116.078,180.0,top
R6,103.5375,-131.4,180.0,top
R7,96.4,-118.3935,90.0,top
R8,109.6,-118.4625,270.0,top
R9,109.4625,-131.4,180.0,top
SW2,52.07,-129.286,180.0,top
SW3,52.07,-139.446,180.0,top
U1,70.4325,-141.992,180.0,top
U2,104.6,-150.415,90.0,top
U3,104.66,-139.395,90.0,top
U4,94.8,-139.395,90.0,top
U5,94.8,-150.4,90.0,top
VP_IN1,43.942,-103.084,90.0,top
VP_OUT1,55.92,-88.392,180.0,top
